,price
388,356000
389,370000
390,572000
391,199000
392,845000
393,995000
394,438000
395,730000
396,165000
397,195000
398,425000
399,336000
400,353000
401,513000
402,530000
403,269000
404,458000
405,716000
406,752000
407,419000
408,300000
409,412000
410,1350000
411,720000
412,496000
413,400000
414,212500
415,315000
416,476500
417,285000
418,245000
419,235000
420,380000
421,250000
422,324950
423,681000
424,173250
425,750000
426,235000
427,480000
428,407000
429,275000
430,350000
431,215000
432,386000
433,605000
434,443750
435,670000
436,144000
437,555565
438,719000
439,850000
440,565000
441,335000
442,333000
443,474500
444,1500000
445,775000
446,245000
447,449000
448,175003
449,311750
450,877500
451,445000
452,2535000
453,375000
454,720000
455,1365000
456,290000
457,85000
458,597500
459,799990
460,311300
461,252000
462,1234000
463,749999
464,660000
465,467500
466,400000
467,418000
468,576000
469,380000
470,365000
471,404000
472,604000
473,377000
474,338150
475,363000
476,229500
477,340000
478,480000
479,325000
480,420000
481,835000
482,315000
483,250000
484,650000
485,600000
486,276000
487,516000
488,375000
489,915000
490,445500
491,580000
492,415000
493,419900
494,539900
495,265950
496,385000
497,648000
498,160000
499,830000
500,950000
501,445000
502,269500
503,566950
504,221000
505,314500
506,160000
507,740000
508,626500
509,260000
510,553000
511,833450
512,249000
513,186950
514,250000
515,428000
516,319900
517,269000
518,264000
519,146000
520,330000
521,560000
522,870000
523,503000
524,510000
525,429000
526,255000
527,715000
528,324500
529,1321620
530,505000
531,330000
532,678000
533,503000
534,650000
535,998000
536,699000
537,252000
538,705000
539,255000
540,516500
541,475000
542,240000
543,650000
544,645500
545,135900
546,475000
547,375000
548,600000
549,529950
550,196000
551,1105000
552,275000
553,366000
554,235000
555,318989
556,390000
557,795000
558,440000
559,470500
560,610000
561,495200
562,488000
563,482000
564,330000
565,189950
566,350000
567,285000
568,798750
569,519000
570,220000
571,469950
572,365000
573,349950
574,420000
575,1058000
576,154000
577,510000
578,658600
579,534950
580,760000
581,390000
582,1050000
583,545000
584,739888
585,638000
586,415000
587,818000
588,515000
589,397000
590,395000
591,497500
592,174000
593,255000
594,780000
595,301000
596,415000
597,352500
598,446250
599,609900
600,570000
601,741000
602,595000
603,537000
604,532170
605,545000
606,215000
607,524000
608,459500
609,309620
610,485000
611,635000
612,250000
613,1750000
614,680000
615,550000
616,630000
617,285000
618,398000
619,834500
620,258000
621,805000
622,391000
623,225000
624,450000
625,2466350
626,450000
627,779950
628,816000
629,475000
630,300000
631,747500
632,660000
633,478000
634,355000
635,295000
636,834800
637,908950
638,850000
639,518500
640,420000
641,1980000
642,1355000
643,515000
644,350900
645,385000
646,425000
647,406500
648,476100
649,1356920
650,272000
651,435000
652,335000
653,1230000
654,600000
655,535000
656,3395000
657,234000
658,382000
659,610000
660,230000
661,236500
662,1925000
663,350000
664,775000
665,300000
666,650000
667,659000
668,626100
669,800000
670,180000
671,280000
672,770000
673,560000
674,390000
675,265000
676,367300
677,215000
678,389950
679,382000
680,628000
681,215000
682,185000
683,302000
684,545000
685,295000
686,624000
687,321000
688,259900
689,870000
690,940000
691,740000
692,305240
693,435000
694,450000
695,259000
696,538000
697,379900
698,915000
699,750000
700,655000
701,210000
702,311000
703,1989000
704,595000
705,375000
706,200000
707,400000
708,310000
709,697000
710,263000
711,502500
712,395000
713,432000
714,294900
715,336950
716,695000
717,775000
718,310000
719,340000
720,280000
721,653000
722,580000
723,316000
724,343000
725,745000
726,245000
727,598500
728,572000
729,378750
730,255000
731,2450000
732,416000
733,511000
734,255000
735,478000
736,700000
737,175000
738,224400
739,360000
740,525000
741,332000
742,599000
743,1010000
744,972000
745,340000
746,1712500
747,490000
748,386100
749,250000
750,209900
751,413800
752,685000
753,522000
754,500000
755,2250000
756,320000
757,685000
758,265000
759,200000
760,224000
761,700000
762,550000
763,490000
764,950000
765,555000
766,359950
767,395000
768,1320000
769,407000
770,370000
771,471750
772,1300000
773,440500
774,239950
775,415000
776,253000
777,570000
778,400000
779,685900
780,300000
781,445000
782,635000
783,267000
784,701000
785,200000
786,288400
787,1218000
788,515000
789,546940
790,300000
791,999000
792,230000
793,310000
794,430000
795,442500
796,795000
797,660000
798,545000
799,605000
800,632750
801,489000
802,575000
803,640000
804,415000
805,799000
806,400000
807,365000
808,429000
809,222000
810,506000
811,783200
812,770000
813,300000
814,395000
815,203000
816,320000
817,462600
818,608095
819,675000
820,290000
821,429000
822,326500
823,315000
824,1800000
825,487000
826,315000
827,597000
828,695000
829,350000
830,600000
831,285000
832,850000
833,1385000
834,190000
835,435000
836,516000
837,500000
838,913888
839,570000
840,545400
841,473000
842,580500
843,715000
844,810000
845,677000
846,206000
847,475000
848,442000
849,305000
850,383000
851,790000
852,330000
853,217000
854,440000
855,479000
856,440000
857,598800
858,431000
859,610000
860,375000
861,675000
862,415000
863,1375000
864,719950
865,650000
866,394250
867,400000
868,720001
869,500000
870,556000
871,720000
872,450000
873,1135000
874,282000
875,1800000
876,379880
877,400000
878,500000
879,838000
880,440000
881,440000
882,375000
883,290000
884,560000
885,570000
886,778000
887,308000
888,330000
889,563950
890,1050000
891,585000
892,167500
893,795000
894,860000
895,665000
896,540000
897,659000
898,526000
899,649950
900,241250
901,699900
902,530000
903,192000
904,405300
905,751000
906,348500
907,388500
908,315000
909,760000
910,445000
911,250000
912,869000
913,240000
914,563000
915,382000
916,399000
917,436000
918,1900000
919,307000
920,798000
921,600000
922,235000
923,550285
924,570500
925,500000
926,190000
927,310000
928,648000
929,640000
930,220000
931,597157
932,910000
933,365000
934,328000
935,248000
936,505000
937,452000
938,522000
939,480000
940,658100
941,245000
942,499950
943,460000
944,315000
945,380000
946,401000
947,215000
948,615000
949,820000
950,400000
951,730100
952,625000
953,415000
954,311000
955,295000
956,480000
957,436000
958,501000
959,800000
960,380000
961,349900
962,750000
963,398500
964,633634
965,230000
966,530000
967,220000
968,329999
969,780000
970,255000
971,329950
972,808000
973,740000
974,630000
975,399950
976,342000
977,305000
978,514700
979,436800
980,1600000
981,399950
982,375000
983,437500
984,415000
985,371000
986,345000
987,455000
988,279000
989,428000
990,762000
991,950000
992,630000
993,560000
994,495000
995,275000
996,320000
997,645000
998,1300000
999,512000
1000,475000
1001,2225000
1002,350000
1003,580000
1004,455500
1005,288000
1006,635000
1007,450000
1008,106000
1009,725000
1010,316475
1011,257500
1012,326100
1013,578000
1014,448175
1015,759000
1016,327500
1017,410000
1018,365000
1019,381000
1020,640000
1021,270000
1022,740000
1023,908800
1024,535000
1025,285000
1026,625000
1027,754300
1028,530000
1029,272000
1030,234000
1031,895000
1032,174000
1033,1225000
1034,409950
1035,225000
1036,589900
1037,200000
1038,463000
1039,520000
1040,440000
1041,325000
1042,321000
1043,2630000
1044,442500
1045,1000000
1046,483500
1047,313500
1048,673000
1049,370000
1050,140000
1051,405000
1052,387500
1053,445000
1054,600000
1055,600000
1056,746000
1057,287000
1058,326000
1059,940000
1060,357000
1061,490000
1062,415000
1063,860000
1064,250000
1065,1242000
1066,314000
1067,3400000
1068,272950
1069,479000
1070,865000
1071,325000
1072,1815000
1073,259000
1074,229950
1075,412000
1076,760000
1077,410500
1078,940000
1079,410000
1080,807100
1081,570000
1082,320000
1083,649000
1084,568000
1085,193000
1086,424950
1087,494000
1088,699800
1089,530000
1090,180000
1091,1339000
1092,526000
1093,450000
1094,535000
1095,412500
1096,3000000
1097,278500
1098,269000
1099,248000
1100,865000
1101,260000
1102,985000
1103,355000
1104,437000
1105,830005
1106,257000
1107,485000
1108,809000
1109,707900
1110,325000
1111,775000
1112,366000
1113,460000
1114,346500
1115,325000
1116,360000
1117,632000
1118,655000
1119,1378000
1120,389000
1121,780000
1122,340000
1123,1008000
1124,366000
1125,385000
1126,430000
1127,1875000
1128,605000
1129,215000
1130,245000
1131,964000
1132,2903000
1133,345000
1134,725000
1135,597500
1136,875000
1137,760369
1138,295000
1139,260000
1140,500000
1141,379500
1142,220000
1143,730000
1144,288000
1145,475000
1146,490000
1147,625000
1148,525000
1149,402000
1150,277000
1151,960000
1152,579000
1153,270000
1154,585000
1155,200000
1156,410500
1157,545000
1158,237500
1159,334500
1160,243000
1161,558000
1162,216000
1163,390000
1164,348500
1165,887200
1166,530000
1167,230000
1168,875000
1169,415000
1170,746000
1171,751305
1172,424000
1173,218500
1174,210000
1175,647500
1176,215000
1177,270000
1178,390000
1179,189900
1180,975000
1181,599380
1182,750000
1183,339888
1184,279000
1185,533250
1186,504200
1187,936000
1188,395350
1189,490000
1190,289571
1191,314950
1192,180000
1193,479000
1194,280000
1195,625000
1196,772500
1197,189000
1198,850000
1199,267000
1200,350000
1201,385000
1202,475000
1203,335000
1204,261350
1205,497000
1206,229500
1207,3800000
1208,148000
1209,400000
1210,625000
1211,223000
1212,638000
1213,345000
1214,278500
1215,774000
1216,459000
1217,725000
1218,364900
1219,807000
1220,281000
1221,435500
1222,260000
1223,649000
1224,939000
1225,1211000
1226,453000
1227,105500
1228,193000
1229,2147500
1230,1200000
1231,195000
1232,865950
1233,425000
1234,1250000
1235,277500
1236,423500
1237,289950
1238,680000
1239,600000
1240,250000
1241,495000
1242,651000
1243,630000
1244,619000
1245,550000
1246,500000
1247,1570000
1248,540000
1249,679000
1250,235000
1251,883000
1252,335000
1253,432500
1254,180000
1255,570000
1256,450000
1257,259500
1258,436000
1259,439000
1260,370000
1261,135000
1262,825000
1263,2340000
1264,390000
1265,720000
1266,982000
1267,388000
1268,456000
1269,889000
1270,308000
1271,654950
1272,410000
1273,480000
1274,460940
1275,350000
1276,725000
1277,275000
1278,392440
1279,547000
1280,525000
1281,1070000
1282,193000
1283,246000
1284,686000
1285,400000
1286,615000
1287,239950
1288,345000
1289,510000
1290,400000
1291,320000
1292,439950
1293,295000
1294,1495000
1295,541000
1296,413000
1297,635000
1298,188200
1299,518000
1300,451101
1301,219950
1302,750000
1303,362000
1304,360000
1305,1325000
1306,500000
1307,710000
1308,659000
1309,252000
1310,290000
1311,197500
1312,430000
1313,273500
1314,240000
1315,425000
1316,385000
1317,720000
1318,498688
1319,1275000
1320,511000
1321,550000
1322,339000
1323,237500
1324,315000
1325,460000
1326,827500
1327,495000
1328,231750
1329,488000
1330,285950
1331,530000
1332,329932
1333,1085500
1334,940000
1335,222000
1336,464000
1337,329900
1338,390000
1339,369950
1340,469000
1341,96500
1342,284000
1343,649950
1344,343000
1345,417000
1346,280000
1347,1475000
1348,490000
1349,249900
1350,485000
1351,252500
1352,225000
1353,209977
1354,320000
1355,835000
1356,349000
1357,547500
1358,780000
1359,2480000
1360,350000
1361,740000
1362,1072500
1363,440000
1364,269000
1365,398000
1366,163500
1367,1200000
1368,316000
1369,725000
1370,342000
1371,205000
1372,304000
1373,450000
1374,1324050
1375,206000
1376,847700
1377,1385000
1378,680000
1379,383610
1380,590000
1381,355000
1382,337500
1383,839000
1384,717000
1385,503000
1386,453000
1387,390000
1388,399000
1389,370000
1390,380000
1391,160000
1392,525000
1393,342500
1394,319000
1395,315000
1396,455000
1397,399440
1398,259000
1399,1905000
1400,339500
1401,427000
1402,982218
1403,425000
1404,545000
1405,798000
1406,525000
1407,198000
1408,484000
1409,705000
1410,615000
1411,215000
1412,329000
1413,425000
1414,200500
1415,522000
1416,1465000
1417,1100000
1418,1240000
1419,325000
1420,260000
1421,723000
1422,301500
1423,585000
1424,280000
1425,399950
1426,810000
1427,199990
1428,917000
1429,240000
1430,245500
1431,735000
1432,749000
1433,650000
1434,465000
1435,222000
1436,312000
1437,520000
1438,615000
1439,256703
1440,495000
1441,275000
1442,370000
1443,525000
1444,625000
1445,1200000
1446,450000
1447,415000
1448,350000
1449,322000
1450,249950
1451,345000
1452,499000
1453,551870
1454,612500
1455,965000
1456,430000
1457,550000
1458,555000
1459,433200
1460,450000
1461,284000
1462,162500
1463,335000
1464,272000
1465,386000
1466,299999
1467,615000
1468,830000
1469,490000
1470,257000
1471,295000
1472,270000
1473,442250
1474,700000
1475,480000
1476,485000
1477,280000
1478,310000
1479,488250
1480,949000
1481,465000
1482,305500
1483,390000
1484,537000
1485,342500
1486,325000
1487,530000
1488,650000
1489,353000
1490,845000
1491,269950
1492,709950
1493,385000
1494,360000
1495,295000
1496,483453
1497,115000
1498,213675
1499,7062500
1500,1385000
1501,623300
1502,745000
1503,1705000
1504,265000
1505,433495
1506,815000
1507,1125000
1508,1000000
1509,265000
1510,400000
1511,329950
1512,376000
1513,815000
1514,739000
1515,299000
1516,415000
1517,275000
1518,432000
1519,250000
1520,505000
1521,500000
1522,1080000
1523,736000
1524,175000
1525,440000
1526,363000
1527,552900
1528,394950
1529,320000
1530,970000
1531,615000
1532,253779
1533,195000
1534,360000
1535,435000
1536,200000
1537,685000
1538,687500
1539,705000
1540,505000
1541,500000
1542,541125
1543,315000
1544,535000
1545,835000
1546,565000
1547,418500
1548,850000
1549,315000
1550,2200000
1551,200450
1552,895000
1553,770000
1554,225000
1555,1500000
1556,330000
1557,623000
1558,447450
1559,375000
1560,255000
1561,356000
1562,350000
1563,475000
1564,299000
1565,580000
1566,525000
1567,925000
1568,200000
1569,397000
1570,1346400
1571,515000
1572,658000
1573,292500
1574,527200
1575,240000
1576,499000
1577,383000
1578,559500
1579,262000
1580,865000
1581,238000
1582,550000
1583,428900
1584,326000
1585,413900
1586,245000
1587,240000
1588,436000
1589,245000
1590,280000
1591,403950
1592,442000
1593,285000
1594,467500
1595,305000
1596,254950
1597,370000
1598,625000
1599,340000
1600,161700
1601,732000
1602,767450
1603,253500
1604,291500
1605,645000
1606,608000
1607,246600
1608,319950
1609,284950
1610,500000
1611,600000
1612,344000
1613,370000
1614,715000
1615,425000
1616,749000
1617,419500
1618,163000
1619,319000
1620,275000
1621,610000
1622,1130000
1623,200000
1624,530000
1625,338900
1626,493000
1627,771005
1628,490000
1629,210000
1630,179950
1631,475000
1632,189000
1633,585000
1634,425000
1635,343566
1636,850000
1637,400000
1638,920000
1639,450000
1640,1205000
1641,491000
1642,200000
1643,512500
1644,230000
1645,590300
1646,370000
1647,400000
1648,606000
1649,419000
1650,225000
1651,485000
1652,395000
1653,658500
1654,860000
1655,324950
1656,187500
1657,438750
1658,304900
1659,302500
1660,335000
1661,435000
1662,599950
1663,740000
1664,220000
1665,385500
1666,1240000
1667,238000
1668,279000
1669,345000
1670,525000
1671,925000
1672,619000
1673,570000
1674,495000
1675,335000
1676,330000
1677,450000
1678,258000
1679,400000
1680,2900000
1681,410000
1682,315000
1683,394000
1684,440000
1685,450000
1686,723000
1687,250000
1688,675000
1689,109000
1690,300000
1691,337000
1692,585000
1693,270000
1694,218250
1695,295000
1696,352000
1697,245000
1698,631000
1699,329950
1700,600000
1701,535000
1702,240000
1703,423700
1704,499000
1705,265000
1706,789900
1707,250000
1708,280000
1709,234000
1710,535000
1711,561000
1712,471000
1713,429950
1714,380000
1715,750000
1716,685000
1717,800000
1718,408474
1719,380000
1720,500000
1721,405000
1722,350000
1723,340000
1724,250000
1725,447500
1726,630000
1727,602000
1728,320000
1729,840000
1730,302000
1731,425000
1732,215000
1733,565000
1734,600000
1735,425000
1736,575000
1737,274000
1738,604000
1739,800000
1740,495000
1741,425000
1742,315000
1743,525000
1744,260000
1745,950000
1746,577000
1747,340000
1748,386000
1749,772000
1750,619420
1751,425000
1752,519950
1753,886000
1754,355000
1755,342400
1756,359950
1757,210000
1758,449000
1759,249900
1760,1851000
1761,475000
1762,365000
1763,212000
1764,800000
1765,265000
1766,750000
1767,319950
1768,405000
1769,599000
1770,349950
1771,450000
1772,299950
1773,517500
1774,160000
1775,195000
1776,529000
1777,270000
1778,465000
1779,3300000
1780,236000
1781,193000
1782,375000
1783,665000
1784,243000
1785,586000
1786,526500
1787,712000
1788,540000
1789,550000
1790,439950
1791,226750
1792,560000
1793,399950
1794,700000
1795,595000
1796,699000
1797,288000
1798,363990
1799,332000
1800,295500
1801,269000
1802,550000
1803,368250
1804,183000
1805,490000
1806,325000
1807,318000
1808,440000
1809,333000
1810,287000
1811,645000
1812,380000
1813,244000
1814,440000
1815,627250
1816,315000
1817,357000
1818,427500
1819,607000
1820,850000
1821,225000
1822,641200
1823,515000
1824,397000
1825,700000
1826,518000
1827,550000
1828,385000
1829,765000
1830,895000
1831,385000
1832,1945000
1833,465000
1834,607000
1835,905000
1836,390000
1837,802000
1838,300000
1839,219900
1840,1260000
1841,622000
1842,675000
1843,443000
1844,880000
1845,779950
1846,283000
1847,938000
1848,461000
1849,459000
1850,225000
1851,395825
1852,225000
1853,1150000
1854,488000
1855,255000
1856,466750
1857,249000
1858,805000
1859,276000
1860,268500
1861,1300000
1862,490000
1863,366000
1864,403000
1865,349000
1866,389000
1867,1240000
1868,245000
1869,265000
1870,765000
1871,500000
1872,443500
1873,707000
1874,1150000
1875,565000
1876,1230000
1877,352500
1878,260000
1879,420000
1880,307000
1881,630000
1882,1060000
1883,309950
1884,485000
1885,372000
1886,860000
1887,630000
1888,875000
1889,961500
1890,481000
1891,450000
1892,539000
1893,499950
1894,267500
1895,609850
1896,339000
1897,535800
1898,1665000
1899,325000
1900,500000
1901,735000
1902,509950
1903,425000
1904,100000
1905,316000
1906,620000
1907,285000
1908,690500
1909,330000
1910,460000
1911,321000
1912,229500
1913,447000
1914,424900
1915,440000
1916,550000
1917,619000
1918,895000
1919,599500
1920,320000
1921,575000
1922,397950
1923,305000
1924,338000
1925,680000
1926,752500
1927,555000
1928,637000
1929,539950
1930,222000
1931,418395
1932,676500
1933,395000
1934,950000
1935,497000
1936,830000
1937,449500
1938,569888
1939,590000
1940,415000
1941,540000
1942,715000
1943,286000
1944,405000
1945,535000
1946,454800
1947,545000
1948,352750
1949,219950
1950,524000
1951,455000
1952,1049000
1953,315000
1954,313100
1955,810000
1956,378510
1957,749950
1958,561000
1959,604700
1960,320000
1961,278000
1962,465000
1963,615000
1964,846000
1965,424305
1966,515000
1967,696000
1968,1010000
1969,365000
1970,465000
1971,795000
1972,387500
1973,400000
1974,255000
1975,469000
1976,280000
1977,339950
1978,439000
1979,679950
1980,275000
1981,361000
1982,439950
1983,775000
1984,572500
1985,435000
1986,300523
1987,294900
1988,231500
1989,850000
1990,736000
1991,1275000
1992,680000
1993,225000
1994,269950
1995,425000
1996,500000
1997,380000
1998,837000
1999,252000
2000,495000
2001,230000
2002,350000
2003,255000
2004,284950
2005,1625000
2006,850000
2007,583000
2008,367000
2009,1313000
2010,650000
2011,914500
2012,359800
2013,260000
2014,691000
2015,550000
2016,195000
2017,190500
2018,240000
2019,290000
2020,377000
2021,400000
2022,325000
2023,1350000
2024,711000
2025,360000
2026,775000
2027,1987500
2028,340000
2029,795000
2030,587000
2031,189000
2032,603500
2033,336000
2034,380000
2035,220000
2036,499000
2037,908990
2038,670000
2039,316500
2040,1325000
2041,190000
2042,599950
2043,320000
2044,630000
2045,294350
2046,915000
2047,278000
2048,830000
2049,559500
2050,352950
2051,635000
2052,1525000
2053,601500
2054,993000
2055,240000
2056,487250
2057,255000
2058,963000
2059,447000
2060,577000
2061,1220000
2062,514000
2063,475000
2064,550000
2065,599000
2066,270000
2067,998000
2068,704000
2069,775000
2070,375000
2071,380000
2072,542500
2073,725000
2074,575000
2075,652500
2076,608000
2077,999950
2078,415000
2079,650000
2080,478000
2081,450000
2082,365000
2083,745000
2084,443000
2085,605500
2086,489000
2087,340000
2088,150000
2089,425000
2090,1250000
2091,359000
2092,778983
2093,539000
2094,365000
2095,638150
2096,350000
2097,412000
2098,370000
2099,180500
2100,310000
2101,295000
2102,475000
2103,540000
2104,1195000
2105,340000
2106,718000
2107,549000
2108,1680000
2109,251000
2110,285000
2111,430000
2112,250000
2113,349900
2114,374150
2115,6885000
2116,780000
2117,513000
2118,650000
2119,858450
2120,318200
2121,767500
2122,483000
2123,750000
2124,500000
2125,407500
2126,295000
2127,425000
2128,324000
2129,550000
2130,530000
2131,373000
2132,396000
2133,270000
2134,1360000
2135,275000
2136,299800
2137,412133
2138,378000
2139,631500
2140,225000
2141,535000
2142,539000
2143,233000
2144,190000
2145,327500
2146,392500
2147,495000
2148,842000
2149,599990
2150,350000
2151,340000
2152,314000
2153,550000
2154,269000
2155,396000
2156,268000
2157,350000
2158,235000
2159,2890000
2160,275000
2161,737500
2162,674000
2163,650000
2164,191000
2165,900000
2166,335000
2167,290300
2168,1031000
2169,580000
2170,451555
2171,235000
2172,685000
2173,1650000
2174,535000
2175,975000
2176,480000
2177,190000
2178,293000
2179,315000
2180,261500
2181,470000
2182,300000
2183,411000
2184,715000
2185,330000
2186,407193
2187,247500
2188,405000
2189,740000
2190,565000
2191,989900
2192,450000
2193,160000
2194,425000
2195,259950
2196,633000
2197,1650000
2198,750000
2199,261490
2200,250000
2201,345000
2202,679000
2203,315000
2204,399000
2205,750000
2206,308130
2207,529219
2208,920000
2209,461000
2210,540000
2211,700000
2212,716000
2213,495000
2214,420000
2215,362000
2216,517500
2217,815000
2218,250000
2219,359782
2220,372500
2221,715000
2222,428000
2223,245000
2224,499000
2225,1020000
2226,565000
2227,453000
2228,275000
2229,638000
2230,147400
2231,695000
2232,235000
2233,659950
2234,436000
2235,350000
2236,690000
2237,655000
2238,2300000
2239,685000
2240,1240000
2241,358000
2242,280927
2243,189000
2244,1712750
2245,540000
2246,399888
2247,510000
2248,455000
2249,870000
2250,544000
2251,240000
2252,538000
2253,375000
2254,1045000
2255,150550
2256,716125
2257,226000
2258,505000
2259,392000
2260,525000
2261,565000
2262,265000
2263,147500
2264,978000
2265,525000
2266,1537000
2267,675500
2268,612000
2269,955500
2270,334000
2271,454000
2272,310000
2273,720000
2274,1580000
2275,1485000
2276,2500000
2277,450000
2278,247200
2279,345000
2280,313200
2281,1770000
2282,689900
2283,390000
2284,350000
2285,669000
2286,425000
2287,423000
2288,795000
2289,360000
2290,739900
2291,515000
2292,340000
2293,1175000
2294,417000
2295,660000
2296,744000
2297,485000
2298,870000
2299,423000
2300,288349
2301,530000
2302,561000
2303,650000
2304,465000
2305,708000
2306,641000
2307,568000
2308,824000
2309,278100
2310,334000
2311,405000
2312,428000
2313,299000
2314,672000
2315,390000
2316,373000
2317,321500
2318,715000
2319,503000
2320,998000
2321,387000
2322,357500
2323,323000
2324,427005
2325,450000
2326,550000
2327,727000
2328,1430000
2329,501000
2330,415000
2331,431000
2332,437500
2333,489000
2334,870000
2335,515000
2336,495000
2337,580000
2338,1249000
2339,712500
2340,325000
2341,710000
2342,419000
2343,217500
2344,235750
2345,499900
2346,762000
2347,575000
2348,490000
2349,423000
2350,600000
2351,502000
2352,555000
2353,260000
2354,272000
2355,595000
2356,335000
2357,575000
2358,1620000
2359,160000
2360,529000
2361,510000
2362,390000
2363,435000
2364,169000
2365,430000
2366,263000
2367,475000
2368,446000
2369,462500
2370,430000
2371,570000
2372,425000
2373,435000
2374,215000
2375,580000
2376,1300000
2377,565000
2378,355000
2379,744000
2380,650000
2381,468000
2382,370000
2383,440000
2384,445000
2385,525000
2386,522250
2387,801501
2388,749000
2389,390000
2390,933000
2391,499000
2392,659000
2393,303000
2394,473000
2395,645000
2396,199500
2397,450000
2398,342000
2399,415000
2400,690000
2401,230000
2402,428750
2403,685000
2404,410000
2405,290000
2406,887000
2407,919950
2408,385000
2409,1025000
2410,1284000
2411,304000
2412,320000
2413,580000
2414,225000
2415,506000
2416,200000
2417,422500
2418,750000
2419,3567000
2420,530000
2421,545000
2422,250000
2423,221000
2424,565000
2425,234000
2426,289000
2427,575000
2428,401750
2429,370000
2430,125000
2431,257500
2432,270000
2433,685000
2434,372000
2435,1015000
2436,236000
2437,530000
2438,258750
2439,390000
2440,828000
2441,1312000
2442,167000
2443,330000
2444,570000
2445,1195000
2446,315000
2447,1205000
2448,668750
2449,588000
2450,399888
2451,157000
2452,969500
2453,389950
2454,540000
2455,299000
2456,1835000
2457,359000
2458,255000
2459,329000
2460,717000
2461,542950
2462,1225000
2463,218000
2464,924000
2465,455000
2466,350000
2467,727500
2468,200000
2469,430000
2470,950000
